"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Funding Fee","Transaction Fee","Transaction Fee(BNB)","Opened","Closed","Status"
"MATICUSDT","Cross","Short","0.49780000","0.49590000","11.00000000","11.00000000","0.02090000","0E-8","-0.00109516","0E-8","2024-07-12 03:57:08.117","2024-07-12 04:27:10.704","Closed"
"MATICUSDT","Cross","Long","0.49920000","0.50130000","11.00000000","11.00000000","0.02310000","0E-8","-0.00274560","0E-8","2024-07-12 02:10:24.381","2024-07-12 02:25:46.234","Closed"
"MATICUSDT","Cross","Long","0.49310000","0.49500000","75.00000000","75.00000000","0.14250000","0E-8","-0.00739650","0E-8","2024-07-12 01:30:22.090","2024-07-12 01:33:35.253","Closed"
"MATICUSDT","Cross","Long","0.50100000","0.49950000","11.00000000","11.00000000","-0.01650000","0E-8","-0.00275550","0E-8","2024-07-12 00:42:24.818","2024-07-12 00:54:15.845","Closed"
"MATICUSDT","Cross","Long","0.50890000","0.50740000","11.00000000","11.00000000","-0.01650000","0E-8","-0.00279895","0E-8","2024-07-11 19:00:14.628","2024-07-11 19:09:45.811","Closed"
"MATICUSDT","Cross","Long","0.50440000","0.50660000","75.00000000","75.00000000","0.16500000","0E-8","-0.01891500","0E-8","2024-07-11 16:10:00.486","2024-07-11 16:20:34.236","Closed"
"MATICUSDT","Cross","Short","0.52080000","0.51790000","75.00000000","75.00000000","0.21750000","0E-8","-0.00781200","0E-8","2024-07-11 12:46:08.230","2024-07-11 12:54:55.115","Closed"
"MATICUSDT","Cross","Short","0.51270000","0.51460000","11.00000000","11.00000000","-0.02090000","0E-8","-0.00281985","0E-8","2024-07-11 10:29:08.117","2024-07-11 11:40:12.526","Closed"
"MATICUSDT","Cross","Long","0.51200000","0.51370000","11.00000000","11.00000000","0.01870000","0E-8","-0.00112640","0E-8","2024-07-11 05:52:56.312","2024-07-11 06:55:30.206","Closed"
"MATICUSDT","Cross","Long","0.50730000","0.50920000","11.00000000","11.00000000","0.02090000","0E-8","-0.00111606","0E-8","2024-07-11 03:35:46.444","2024-07-11 04:10:59.101","Closed"
"MATICUSDT","Cross","Short","0.51440000","0.51580000","11.00000000","11.00000000","-0.01540000","0E-8","-0.00282920","0E-8","2024-07-11 01:46:04.154","2024-07-11 01:49:06.133","Closed"
"MATICUSDT","Cross","Short","0.51030000","0.51160000","11.00000000","11.00000000","-0.01430000","0E-8","-0.00112266","0E-8","2024-07-11 01:16:36.610","2024-07-11 01:38:11.310","Closed"
"MATICUSDT","Cross","Short","0.51050000","0.51200000","11.00000000","11.00000000","-0.01650000","0E-8","-0.00280775","0E-8","2024-07-11 00:44:39.022","2024-07-11 00:53:38.588","Closed"
"MATICUSDT","Cross","Long","0.51210000","0.51080000","11.00000000","11.00000000","-0.01430000","-0.00053564","0E-8","0E-8","2024-07-10 23:38:48.065","2024-07-11 00:35:45.538","Closed"
"MATICUSDT","Cross","Short","0.51080000","0.51170000","11.00000000","11.00000000","-0.00990000","0E-8","0E-8","0E-8","2024-07-10 21:13:36.003","2024-07-10 22:08:22.821","Closed"
"MATICUSDT","Cross","Short","0.51050000","0.51240000","11.00000000","11.00000000","-0.02090000","0E-8","-0.00280775","0E-8","2024-07-10 20:31:46.781","2024-07-10 20:41:29.273","Closed"
"MATICUSDT","Cross","Short","0.50960000","0.51050000","11.00000000","11.00000000","-0.00990000","0E-8","-0.00280280","0E-8","2024-07-10 18:31:40.976","2024-07-10 18:32:44.368","Closed"
"MATICUSDT","Cross","Short","0.51470000","0.51290000","11.00000000","11.00000000","0.01980000","0E-8","-0.00113233","0E-8","2024-07-10 16:15:24.453","2024-07-10 16:42:24.601","Closed"
"MATICUSDT","Cross","Short","0.51210000","0.51000000","11.00000000","11.00000000","0.02310000","0.00047604","-0.00281655","0E-8","2024-07-10 15:45:11.249","2024-07-10 16:01:20.965","Closed"
"MATICUSDT","Cross","Short","0.50500000","0.50590000","11.00000000","11.00000000","-0.00990000","0E-8","-0.00111100","0E-8","2024-07-10 15:06:35.788","2024-07-10 15:08:52.934","Closed"
"MATICUSDT","Cross","Short","0.50450000","0.50520000","11.00000000","11.00000000","-0.00770000","0E-8","-0.00277475","0E-8","2024-07-10 14:12:32.600","2024-07-10 14:13:26.716","Closed"
